Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:48:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:12       8    1.81    0.00    1.01    0.20    0.00    0.20    0.00    0.00    0.00   96.77
21:49:12       9    1.62    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   97.58
21:49:12      10    1.44    0.00    0.82    0.00    0.00    0.21    0.00    0.00    0.00   97.54
21:49:12      11    1.82    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   96.97
21:49:12      12    1.81    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.38
21:49:12      13    5.61    0.00    1.40    0.00    0.00    0.20    0.00    0.00    0.00   92.79
21:49:12      14    2.22    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.77
21:49:12      15    3.82    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   94.78

21:49:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:17     all    3.54    0.00    1.06    0.03    0.00    0.58    0.00    0.00    0.00   94.79
21:49:17       0    0.99    0.00    0.59    0.00    0.00    4.14    0.00    0.00    0.00   94.28
21:49:17       1    1.81    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   96.17
21:49:17       2    2.41    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   96.38
21:49:17       3    8.25    0.00    1.41    0.00    0.00    0.80    0.00    0.00    0.00   89.54
21:49:17       4    5.84    0.00    1.81    0.40    0.00    0.60    0.00    0.00    0.00   91.35
21:49:17       5    7.10    0.00    1.83    0.00    0.00    0.41    0.00    0.00    0.00   90.67
21:49:17       6    3.64    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   94.75
21:49:17       7    8.30    0.00    1.42    0.00    0.00    0.20    0.00    0.00    0.00   90.08
21:49:17       8    2.02    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.98
21:49:17       9    1.83    0.00    0.61    0.00    0.00    0.00    0.00    0.00    0.00   97.57
21:49:17      10    1.84    0.00    0.82    0.00    0.00    0.20    0.00    0.00    0.00   97.13
21:49:17      11    3.44    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   95.75
21:49:17      12    2.02    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.97
21:49:17      13    2.82    0.00    1.21    0.00    0.00    0.40    0.00    0.00    0.00   95.57
21:49:17      14    2.81    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.18
21:49:17      15    1.62    0.00    0.61    0.00    0.00    0.40    0.00    0.00    0.00   97.37

21:49:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:22     all    3.56    0.00    1.17    0.00    0.00    0.59    0.00    0.00    0.00   94.68
21:49:22       0    1.57    0.00    0.59    0.00    0.00    4.31    0.00    0.00    0.00   93.53
21:49:22       1    2.01    0.00    0.80    0.00    0.00    0.80    0.00    0.00    0.00   96.38
21:49:22       2    2.61    0.00    1.40    0.00    0.00    0.40    0.00    0.00    0.00   95.59
